,Global_reactive_power,Voltage,Global_intensity,Date_day,Date_month,hour,minute,Total_sub_metering
2009099,0.062,241.8,3.0,10.0,11.0,22.0,23.0,2.0
202320,0.0,237.73,0.6,5.0,6.0,5.0,24.0,0.0
960892,0.108,242.0,1.4,14.0,10.0,0.0,16.0,1.0
989923,0.068,242.61,2.4,11.0,3.0,4.0,7.0,1.0
1052800,0.138,239.25,13.9,16.0,12.0,20.0,4.0,17.0
274588,0.046,235.73,5.0,25.0,6.0,9.0,52.0,17.0
344765,0.132,235.17,1.2,13.0,8.0,3.0,29.0,1.0
458451,0.064,243.02,1.4,31.0,10.0,2.0,15.0,0.0
1248418,0.258,239.66,9.8,5.0,1.0,16.0,22.0,33.0
931627,0.13,242.62,4.0,23.0,9.0,16.0,31.0,11.0
1844736,0.0,245.34,1.2,19.0,6.0,19.0,0.0,1.0
972511,0.0,243.35,1.0,22.0,10.0,1.0,55.0,1.0
1013912,0.218,238.82,6.6,19.0,11.0,19.0,56.0,0.0
1125373,0.048,245.53,1.0,2.0,5.0,5.0,37.0,0.0
692162,0.0,240.8,5.6,4.0,10.0,9.0,26.0,19.0
297834,0.118,240.92,1.0,7.0,11.0,13.0,18.0,0.0
560039,0.22,244.87,2.0,1.0,9.0,15.0,23.0,0.0
1042049,0.126,239.02,13.9,12.0,9.0,8.0,53.0,17.0
1414056,0.148,240.29,3.4,24.0,8.0,17.0,0.0,11.0
1714481,0.12389290560382264,240.82676954857766,4.647313526540645,21.0,3.0,8.0,5.0,7.813293638738684
906277,0.11,238.81,1.0,9.0,6.0,2.0,1.0,1.0
1834146,0.086,238.76,5.4,6.0,12.0,10.0,30.0,18.0
1574213,0.40800000000000003,243.04,11.0,13.0,12.0,22.0,17.0,29.0
1472796,0.0,241.99,0.8,10.0,4.0,12.0,0.0,1.0
1989297,0.12389290560382264,240.82676954857766,4.647313526540645,28.0,9.0,4.0,21.0,7.813293638738684
1143928,0.056,245.73,1.2,18.0,2.0,2.0,52.0,0.0
1864454,0.186,242.01,3.0,7.0,3.0,11.0,38.0,2.0
209881,0.0,233.22500000000002,1.8,5.0,11.0,11.0,25.0,0.0
395756,0.078,240.63,0.8,17.0,9.0,13.0,20.0,0.0
682139,0.048,242.07,5.2,4.0,3.0,10.0,23.0,18.0
1336274,0.07,241.19,7.2,7.0,1.0,16.0,38.0,18.0
1286669,0.0,233.22500000000002,1.0,28.0,5.0,5.0,53.0,1.0
1161281,0.0,243.09,1.6,3.0,2.0,4.0,5.0,0.0
1956015,0.06,243.95,1.0,9.0,5.0,1.0,39.0,0.0
500008,0.0,247.59,1.4,28.0,11.0,22.0,52.0,0.0
1485946,0.0,243.76,1.6,13.0,10.0,15.0,10.0,1.0
432513,0.088,240.08,1.4,13.0,10.0,1.0,57.0,0.0
2047816,0.118,233.22500000000002,11.6,11.0,7.0,19.0,40.0,18.0
1548368,0.0,244.54,5.4,25.0,11.0,23.0,32.0,19.0
79419,0.27,240.28,7.0,2.0,9.0,21.0,3.0,0.0
312133,0.054,233.22500000000002,5.0,21.0,7.0,11.0,37.0,16.0
